categoria,portugues,ingles
PROCURAÇÃO / POWER-OF-ATTORNEY,procuração,power-of-attorney
PROCURAÇÃO / POWER-OF-ATTORNEY,Dr. Ricardo Pereira [advogado],Mr. Ricardo Pereira
PROCURAÇÃO / POWER-OF-ATTORNEY,perante mim compareceu como outorgante [nome],before me appeared personally [name] (as Grantor)
NOTAS CONTÁBEIS,imobilizado,"property, plant and equipment (PP&E); fixed assets"
NOTAS CONTÁBEIS,registrado pelo custo de aquisição,recorded at acquisition cost
NOTAS CONTÁBEIS,método linear,straight-line method
NOTAS CONTÁBEIS,taxas,rates
NOTAS CONTÁBEIS,vida útil dos bens,useful life of the assets
NOTAS CONTÁBEIS,depreciação,depreciation
NOTAS CONTÁBEIS,amortização,amortization
NOTAS CONTÁBEIS,desta forma,accordingly
NOTAS CONTÁBEIS,previsto na legislação,provided for by the legislation
NOTAS CONTÁBEIS,vigente,prevailing
BILL OF LADING / CONHECIMENTO DE EMBARQUE,conhecimento de embarque,bill of lading
BILL OF LADING / CONHECIMENTO DE EMBARQUE,container refrigerado,RFH Container (Refrigerated Container)
BILL OF LADING / CONHECIMENTO DE EMBARQUE,??????,STC (Said To Contain)
BILL OF LADING / CONHECIMENTO DE EMBARQUE,??????,demurrage
BILL OF LADING / CONHECIMENTO DE EMBARQUE,taxa de capatazia (em reais),"DTHC BRL (Destination Terminal Handling Charge, in BRL)"
BILL OF LADING / CONHECIMENTO DE EMBARQUE,caixas,CTN (cartons)
BILL OF LADING / CONHECIMENTO DE EMBARQUE,??????,"CIF (Cost, Insurance and Freight)"
CONTRATO SOCIAL,no valor nominal de,at the par value of
CONTRATO SOCIAL,em moeda corrente do país,fully paid up in domestic currency
CONTRATO SOCIAL,capital social; do capital social [da empresa],registered capital
CONTRATO SOCIAL,cláusula,section
CONTRATO SOCIAL,parágrafo único,[number of section].1
CONTRATO SOCIAL,quotas,shares
CONTRATO SOCIAL,o capital encontra-se subscrito e integralizado pelo(s) sócio(s) da seguinte forma,the shares are subscribed by and allotted among the members as follows
CONTRATO SOCIAL,administração; da administração [da empresa],management
CONTRATO SOCIAL,sede social,registered offices
CONTRATO SOCIAL,a administração da sociedade será exercida pelo sócio [nome do sócio],the management of the company shall be vested in member [member's name]
CONTRATO SOCIAL,sociedade anônima,corporation
CONTRATO SOCIAL,sociedade limitada,limited-liability company; company
CONTRATO SOCIAL,realizar transferências ou cobranças,perform wire transfers or collect funds
CONTRATO SOCIAL,realizar ou resgatar aplicações financeiras e/ou investimentos,buy or redeem financial instruments or make investments
CONTRATO SOCIAL,prestar garantias,pledge bonds and guarantees
CONTRATO SOCIAL,solicitar a aquisição de novos produtos financeiros,request the acquisition of new financial products
CONTRATO SOCIAL,os poderes previstos acima,the powers set forth above
CONTRATO SOCIAL,"não constituindo o objeto social, a alienação ou a oneração de bens imóveis depende de autorização da maioria","the sale, divestiture, or the encumbering of any real property owned by the company is contingent on the authorization of members holding a majority of the company's shares"
CONTRATO SOCIAL,balanço patrimonial; do balanço patrimonial [da empresa],fiscal year; balance sheet
